,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[160],6490.15,0.54361,76.5823,6361.3,6492.1,6613.23,19846.4,7.85835,0.999967
mu[161],9019.18,0.563682,82.4746,8879.63,9021.55,9150.11,21407.8,8.47659,1.00002
mu[162],7364.15,0.408081,59.5511,7262.78,7365.74,7459.27,21295.4,8.43209,1.00011
mu[163],7647.16,0.332701,47.6466,7568.16,7647.3,7725.52,20509.5,8.1209,1.00009
mu[164],8824.34,0.450626,68.6744,8708.24,8826.3,8933.2,23225.1,9.19614,0.999948
mu[165],8296.97,0.414945,61.282,8193.89,8298.82,8395.51,21811.5,8.63641,1.00009
mu[166],8325.38,0.350814,50.2382,8243.17,8325.35,8407.88,20507.6,8.12015,1.00002
mu[167],7726.93,0.415096,62.3089,7622.49,7728.23,7826.41,22532.2,8.92182,0.999893
mu[168],7887.33,0.328381,47.0714,7811.14,7886.3,7965.88,20547.5,8.13592,1.00001
mu[169],8716.75,0.396878,59.1727,8619.65,8717.21,8813.61,22229.5,8.80193,1.00011
mu[170],8081.29,0.528217,80.5153,7941.09,8085.77,8206.13,23234.4,9.19984,1.0
mu[171],6947.75,0.40516,59.6449,6849.49,6947.7,7045.1,21671.8,8.58111,1.0001
mu[172],8522.41,0.345359,49.6982,8441.96,8521.72,8606.09,20708.1,8.19954,1.00002
mu[173],8718.41,0.421959,65.5689,8605.6,8721.52,8820.69,24146.5,9.56101,1.00007
mu[174],7588.14,0.403784,58.1785,7489.65,7589.5,7681.28,20759.9,8.22006,0.999967
mu[175],7362.87,0.46482,64.6103,7251.38,7366.06,7463.73,19321.2,7.65037,0.999952
mu[176],8846.91,0.381207,56.2788,8754.02,8847.01,8939.3,21795.5,8.6301,1.00005
mu[177],9476.74,0.402469,60.8621,9375.41,9477.6,9575.23,22868.1,9.05479,1.00002
mu[178],7855.33,0.289959,42.0857,7785.75,7855.54,7924.35,21066.7,8.34151,1.00009
mu[179],7799.64,0.46145,71.5408,7676.57,7803.43,7912.15,24035.8,9.51715,0.999923
mu[180],7947.29,0.376925,56.8728,7853.11,7947.62,8040.48,22766.6,9.01461,1.00002
mu[181],9347.0,0.434681,63.3325,9243.95,9346.4,9451.92,21228.2,8.40545,1.00002
mu[182],6969.47,0.304847,44.9491,6896.86,6969.57,7043.77,21740.9,8.60847,1.00003
mu[183],8107.35,0.369281,51.6624,8024.39,8105.98,8194.53,19572.1,7.74971,0.999986
mu[184],7298.96,0.388332,58.7164,7205.75,7297.07,7397.91,22861.9,9.05234,1.00005
mu[185],5995.23,0.503754,77.6009,5870.47,5993.06,6126.51,23730.0,9.39606,0.999899
mu[186],8338.38,0.380526,58.4657,8244.83,8336.63,8437.72,23606.6,9.34721,1.00001
mu[187],7321.98,0.403327,58.8633,7224.8,7321.88,7418.56,21299.7,8.43378,0.999961
mu[188],8149.32,0.364627,54.4596,8058.92,8149.74,8237.39,22307.5,8.83282,0.999893
mu[189],8390.82,0.454963,67.1057,8283.27,8389.4,8503.29,21755.4,8.61422,1.00001
mu[190],7096.54,0.375593,56.4283,7000.76,7098.87,7184.49,22571.3,8.9373,0.999976
