,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[139],8329.75,0.305438,43.5101,8259.46,8329.48,8401.43,20292.4,8.10456,1.00018
mu[140],8713.43,0.407053,63.0686,8606.3,8715.58,8812.07,24006.2,9.58778,1.00001
mu[141],7280.0,0.544866,79.7269,7141.76,7283.49,7405.08,21410.7,8.55117,0.999901
mu[142],8454.12,0.35222,51.4748,8371.81,8452.86,8541.07,21358.0,8.53014,1.00016
mu[143],7269.7,0.342895,50.4771,7188.68,7269.42,7353.84,21670.3,8.65487,1.0002
mu[144],10580.2,0.664225,100.663,10410.7,10581.9,10743.9,22967.2,9.17282,0.99989
mu[145],8102.04,0.363219,50.8271,8020.87,8101.26,8187.76,19581.9,7.82078,1.00018
mu[146],8145.63,0.372691,55.0932,8051.09,8148.26,8231.06,21852.3,8.72756,0.999988
mu[147],9110.37,0.458472,70.6588,8992.79,9111.59,9224.23,23752.3,9.4864,1.00008
mu[148],7297.83,0.380126,55.8417,7206.47,7297.3,7389.77,21580.5,8.619,1.00018
mu[149],8655.02,0.434989,66.7467,8542.77,8656.67,8760.72,23545.3,9.4037,1.00001
mu[150],8455.6,0.519593,79.4407,8321.53,8457.48,8582.4,23375.5,9.33588,1.0001
mu[151],7903.36,0.351602,52.7325,7815.1,7904.5,7987.2,22493.4,8.98359,1.0001
mu[152],5619.39,0.675532,97.6487,5454.6,5621.15,5776.55,20895.0,8.3452,0.99997
mu[153],5584.55,0.581987,86.1682,5440.01,5586.43,5723.16,21921.4,8.75513,0.999939
mu[154],6119.6,0.476092,70.9807,6004.28,6119.33,6237.93,22227.9,8.87757,0.999957
mu[155],6702.46,0.434294,66.6166,6593.48,6702.08,6812.1,23528.6,9.39706,0.999909
mu[156],9216.54,0.403761,58.4029,9120.93,9216.44,9312.92,20922.8,8.35632,1.00006
mu[157],6618.25,0.488754,71.6405,6502.09,6617.11,6739.19,21485.1,8.58087,0.999915
mu[158],7766.42,0.359397,53.5078,7676.77,7767.4,7852.19,22165.9,8.85279,1.00006
mu[159],7601.26,0.341425,50.2675,7519.66,7600.09,7685.59,21676.3,8.65724,1.00007
mu[160],6490.71,0.536071,77.0856,6361.46,6492.28,6614.39,20677.7,8.25842,1.00002
mu[161],9019.81,0.550609,82.7855,8880.02,9023.0,9150.21,22605.9,9.02852,0.99991
mu[162],7364.82,0.399691,60.1329,7263.78,7366.53,7460.01,22634.7,9.04004,0.999936
mu[163],7647.31,0.330536,47.9054,7568.08,7647.43,7725.22,21005.5,8.38933,1.0001
mu[164],8824.62,0.440455,67.604,8710.79,8826.1,8932.06,23558.2,9.40885,0.999861
mu[165],8297.28,0.412108,61.2532,8193.94,8298.83,8395.76,22092.0,8.82327,0.999888
mu[166],8325.33,0.344531,50.7157,8243.49,8324.74,8409.28,21668.4,8.65412,1.00007
mu[167],7726.84,0.404047,62.2025,7622.72,7728.27,7826.93,23700.2,9.46556,0.999886
mu[168],7887.22,0.325957,47.2363,7810.66,7886.55,7965.85,21000.6,8.3874,1.00011
mu[169],8717.35,0.394684,59.2354,8620.82,8717.2,8814.51,22524.9,8.99618,1.00012
mu[170],8082.17,0.538199,80.011,7943.49,8086.25,8205.32,22101.1,8.82693,0.999885
mu[171],6947.83,0.413281,59.8109,6849.36,6948.29,7046.43,20944.5,8.36497,1.00006
mu[172],8522.22,0.343555,50.2444,8440.67,8521.41,8605.78,21388.7,8.54238,1.00009
mu[173],8719.04,0.419821,65.6276,8606.09,8721.93,8822.14,24436.9,9.7598,0.999927
mu[174],7588.13,0.400351,58.0558,7489.98,7589.52,7680.58,21028.5,8.39855,0.999929
mu[175],7363.02,0.451723,64.6098,7251.48,7365.5,7463.51,20457.5,8.17046,1.00007
mu[176],8847.15,0.374898,56.2809,8753.7,8847.3,8939.03,22537.0,9.00103,0.999939
mu[177],9476.9,0.406986,60.7219,9375.04,9477.55,9575.75,22260.3,8.89051,1.00001
mu[178],7855.16,0.288051,42.3035,7785.26,7855.63,7924.3,21568.1,8.61405,1.00015
